HU,HYDROGEN,OXYGEN,CARBON,NITROGEN,CHLORINE,CALCIUM,PHOSPHOROUS,MAGNESIUM
-2513,0.078,0.191,0.647,0.084,0,0,0,0
-1500,0,0.237,0,0.765,0,0,0,0
-999,0,0.237,0,0.765,0,0,0,0
-997,0,0.237,0,0.765,0,0,0,0
-994,0,0.237,0,0.765,0,0,0,0
-990,0,0.237,0,0.765,0,0,0,0
-981,0,0.237,0,0.765,0,0,0,0
-968,0,0.237,0,0.765,0,0,0,0
-956,0,0.237,0,0.765,0,0,0,0
-937,0.103,0.749,0.105,0.031,0.003,0,0.002,0.002
-912,0.103,0.749,0.105,0.031,0.003,0,0.002,0.002
-865,0.103,0.749,0.105,0.031,0.003,0,0.002,0.002
-765,0.103,0.749,0.105,0.031,0.003,0,0.002,0.002
-600,0.103,0.749,0.105,0.031,0.003,0,0.002,0.002
-375,0.103,0.749,0.105,0.031,0.003,0,0.002,0.002
-186,0.103,0.749,0.105,0.031,0.003,0,0.002,0.002
-103,0.116289732770745,0.186990154711674,0.692502390998593,0.00130464135021097,0.000971026722925457,0,0,0
-69,0.113098591549296,0.308253521126761,0.565814084507042,0.00896338028169014,0.00129014084507042,0,0.000290140845070423,0
-39,0.110442282176028,0.409193277310924,0.460358602388324,0.0153385227775321,0.00155577178239717,0,0.000555771782397169,0
-8,0.107841584158416,0.508019801980198,0.357110891089109,0.021580198019802,0.00181584158415842,0,0.000815841584158416,0
14,0.106078580481622,0.575013941698352,0.287119645120406,0.0258114068441065,0.00199214195183777,0,0.000992141951837769,0
51,0.103,0.723,0.134,0.03,0.002,0,0.002,0
101,0.094,0.622,0.207,0.062,0.003,0,0,0
161,0.09418813113847,0.355805090607276,0.451188961128787,0.0249730944805644,0.00118792364089086,0.0472074284133351,0.0222211924194218,0.000416101812145525
251,0.087683654607869,0.364363612358067,0.419180089780829,0.0268131766569844,0.00105954581462899,0.0664213097438606,0.0309508846052284,0.000587272247161342
351,0.0811179624664879,0.373002680965147,0.386869973190349,0.0286705764075067,0.000929959785522788,0.085816018766756,0.0397627345844504,0.000760053619302949
451,0.0751557829110383,0.380847654064423,0.357529773799057,0.030357245623851,0.000812285189033651,0.10342798337463,0.0477646071457118,0.000916953081288466
551,0.0697175607519487,0.38800320953691,0.330767996331958,0.0318956900504356,0.000704951856946355,0.119492205410362,0.0550632737276479,0.00106006419073819
651,0.0647371349095967,0.394556401434741,0.306259058634068,0.0333046263084694,0.000606653978478882,0.134204121220994,0.0617475294634361,0.00119112802869482
751,0.0601590334363585,0.400580219162686,0.283729980331554,0.0345997471199775,0.000516296712559708,0.14772759202023,0.0678918235459399,0.00131160438325372
851,0.0559363986226453,0.406136317601782,0.262950172169334,0.0357943082843832,0.000432955235973263,0.160201033016002,0.0735590439538181,0.00142272635203565
951,0.052029377356038,0.411277135057845,0.24372351488366,0.0368995840374366,0.000355842974132328,0.171742168204862,0.0788026777590017,0.0015255427011569
1051,0.0484038594073053,0.41604755341144,0.225882150241213,0.0379252239834597,0.000284286698828394,0.182451757408684,0.0836685044796692,0.00162095106822881
1151,0.0450304789550073,0.420486211901306,0.209281567489115,0.0388795355587808,0.000217706821480406,0.192416545718433,0.0881959361393324,0.00170972423802612
1251,0.0418838174273859,0.424626556016597,0.193796680497925,0.0397697095435685,0.000155601659751037,0.201711618257261,0.0924190871369295,0.00179253112033195
1351,0.0389417618455275,0.428497681782201,0.17931867013457,0.0406020015831731,9.75347732669909e-05,0.21040229560104,0.0963676354178446,0.00186995363564401
1451,0.0361849843929686,0.432125020535568,0.165752423196977,0.041381879415147,4.3124691966486e-05,0.218545671102349,0.100067520946279,0.00194250041071135
1551,0.0335965173072839,0.43553089827989,0.153014440433213,0.0421141431301763,0,0.226191866638352,0.103541516245487,0.00201061796559779
1801,0.0277677263422695,0.443200360075961,0.124330653315905,0.0437630774163317,0,0.243409808370533,0.11136436727748,0.00216400720151922
2251,0,0,1,0,0,0,0,0
