H,1.008,1
O,15.999,8
C,12.011,6
N,14.007,7
Cl,35.45,17
Ca,40.078,20
P,30.9738,15
Mg,24.305,12
Si,28.085,14
S,32.06,16
K,39.0983,19
Ar,39.948,18
Na,22.9897,11
