-3024,-2001
-2000,-1000
-999,-998
-997,-996
-995,-993
-992,-988
-987,-974
-973,-962
-961,-950
-949,-925
-924,-900
-899,-830
-829,-700
-699,-500
-499,-250
-249,-122
-121,-84
-83,-54
-53,-24
-23,8
9,19
20,81
82,120
121,200
201,300
301,400
401,500
501,600
601,700
701,800
801,900
901,1000
1001,1100
1101,1200
1201,1300
1301,1400
1401,1500
1501,1600
1601,2000
2001,2500
